t_ms,raw,filtered
0,1220350,1220350.000
10,1219810,1220269.000
22,1219356,1220132.125
34,1220045,1220119.125
47,1220215,1220133.625
59,1219714,1220070.750
71,1219363,1219964.625
84,1220118,1219987.625
96,1220235,1220024.750
108,1219731,1219980.750
121,1219486,1219906.625
133,1220305,1219966.500
145,1220142,1219992.875
158,1219664,1219943.625
170,1219569,1219887.500
182,1220335,1219954.625
195,1220082,1219973.750
207,1219513,1219904.625
219,1219732,1219878.750
232,1220433,1219961.875
244,1220009,1219969.000
256,1219542,1219905.000
269,1219886,1219902.125
281,1220382,1219974.125
293,1219927,1219967.125
306,1219531,1219901.750
318,1220064,1219926.125
330,1220438,1220003.000
343,1219849,1219979.875
355,1219474,1219904.000
367,1220148,1219940.625
380,1220318,1219997.250
392,1219826,1219971.625
404,1219466,1219895.875
417,1220205,1219942.250
429,1220173,1219976.875
441,1219560,1219914.375
454,1219400,1219837.250
466,1220298,1219906.375
478,1220127,1219939.500
491,1219549,1219881.000
503,1219549,1219831.250
515,1220307,1219902.625
528,1219948,1219909.500
540,1219484,1219845.750
552,1219708,1219825.125
565,1220486,1219924.250
577,1219922,1219923.875
589,1219490,1219858.875
602,1219888,1219863.250
614,1220415,1219946.125
626,1220034,1219959.375
639,1219549,1219897.875
651,1219957,1219906.750
663,1220355,1219974.000
676,1219893,1219961.875
688,1219542,1219898.875
701,1220282,1219956.375
713,1220504,1220038.500
725,1219922,1220021.000
738,1219501,1219943.000
750,1220218,1219984.250
762,1220217,1220019.125
775,1219826,1219990.250
787,1219568,1219927.000
799,1220340,1219989.000
812,1220152,1220013.500
824,1219728,1219970.750
836,1219604,1219915.750
849,1220289,1219971.750
861,1219989,1219974.375
873,1219634,1219923.375
886,1219769,1219900.250
898,1220448,1219982.500
910,1220019,1219988.000
923,1219495,1219914.125
935,1219902,1219912.375
947,1220425,1219989.375
960,1220010,1219992.500
972,1219549,1219926.000
984,1219990,1219935.625
997,1220257,1219983.875
1009,1219856,1219964.750
1021,1219482,1219892.375
1034,1220163,1219933.000
1046,1220285,1219985.875
1058,1219711,1219944.625
1071,1219435,1219868.250
1083,1220274,1219929.125
1095,1220079,1219951.625
1108,1219535,1219889.250
1120,1219548,1219838.125
1132,1220478,1219934.125
1145,1220216,1219976.500
1157,1219684,1219932.625
1169,1219603,1219883.250
1182,1220368,1219956.000
1194,1219978,1219959.375
1206,1219531,1219895.125
1219,1219737,1219871.375
1231,1220395,1219950.000
1243,1219870,1219938.000
1256,1219441,1219863.500
1268,1219831,1219858.625
1280,1220296,1219924.250
1293,1219714,1219892.750
1305,1219247,1219795.875
1317,1219904,1219812.125
1330,1220280,1219882.375
1342,1219814,1219872.125
1354,1219431,1219806.000
1367,1220175,1219861.375
1379,1220193,1219911.125
1391,1219593,1219863.500
1404,1219444,1219800.625
1416,1220235,1219865.875
1428,1220070,1219896.500
1441,1219592,1219850.875
1453,1219466,1219793.125
1465,1220259,1219863.000
1478,1220038,1219889.250
1490,1219485,1219828.625
1502,1219509,1219780.750
1515,1220326,1219862.625
1527,1219878,1219865.000
1540,1219296,1219779.625
1552,1219507,1219738.750
1564,1220235,1219813.250
1577,1219876,1219822.750
1589,1219269,1219739.750
1601,1219647,1219725.875
1614,1220181,1219794.125
1626,1219632,1219769.875
1638,1219403,1219714.875
1651,1220132,1219777.500
1663,1220363,1219865.375
1675,1219762,1219849.875
1688,1219222,1219755.750
1700,1220003,1219792.875
1712,1220083,1219836.500
1725,1219569,1219796.375
1737,1219342,1219728.250
1749,1220089,1219782.375
1762,1220038,1219820.750
1774,1219463,1219767.125
1786,1219265,1219691.875
1799,1220090,1219751.625
1811,1219831,1219763.625
1823,1219353,1219702.125
1836,1219473,1219667.750
1848,1220166,1219742.500
1860,1219709,1219737.500
1873,1219318,1219674.625
1885,1219604,1219664.000
1897,1220235,1219749.750
1910,1219704,1219742.875
1922,1219218,1219664.250
1934,1219682,1219666.875
1947,1220210,1219748.375
1959,1219812,1219757.875
1971,1219241,1219680.375
1984,1219818,1219701.125
1996,1220158,1219769.750
2008,1219677,1219755.875
2021,1219328,1219691.750
2033,1220133,1219758.000
2045,1220197,1219823.875
2058,1219626,1219794.250
2070,1219228,1219709.375
2082,1220095,1219767.250
2095,1220026,1219806.125
2107,1219477,1219756.750
2119,1219404,1219703.875
2132,1220293,1219792.250
2144,1220074,1219834.500
2156,1219451,1219777.000
2169,1219458,1219729.250
2181,1220254,1219808.000
2193,1219795,1219806.125
2206,1219234,1219720.375
2218,1219552,1219695.125
2230,1220235,1219776.125
2243,1219771,1219775.375
2255,1219364,1219713.750
2267,1219667,1219706.750
2280,1219999,1219750.625
2292,1219497,1219712.625
